epoch,train_loss,val_loss
1,0.04749882673430774,0.017952327569946646
2,0.011465960192597574,0.008862005430273712
3,0.007449616507316629,0.006969324965029955
4,0.0064025024262567365,0.006138396565802395
5,0.005830148855845134,0.005695493589155376
6,0.005439319327059719,0.005357140745036304
7,0.0051331950920737454,0.005091993580572307
8,0.004907823364353843,0.004912499058991671
9,0.004715657239365909,0.004740801337175071
10,0.004570828647249275,0.004753645998425782
11,0.004476108368382686,0.004503489541821182
12,0.0043677312632401785,0.004417899216059595
13,0.004286494724349015,0.004353360610548407
14,0.004224602350344261,0.004313936433754861
15,0.00415708388771034,0.004218104924075305
16,0.004096913937893179,0.004167514585424215
17,0.004049430469361444,0.004123403411358595
18,0.004007387567415006,0.004086341464426368
19,0.00395004015105466,0.0040647789603099225
20,0.003950777993951406,0.004014624888077379
21,0.003895384153454668,0.0039652756880968806
22,0.0038549303905003602,0.003938461025245488
23,0.003825704644744595,0.003919796866830439
24,0.003788949264627364,0.0038782226154580714
25,0.0037666675815772677,0.0038453321321867406
26,0.0037447710573259327,0.0038245561183430253
27,0.003694903641007841,0.003806083451490849
28,0.0036933387060546215,0.00377471816027537
29,0.003650797487029599,0.0037347204750403764
30,0.003648990415968001,0.003716439043637365
31,0.003607339003226823,0.0037204532884061335
32,0.0035713154085290928,0.0036861991859041153
33,0.003563520956474046,0.003652108961250633
34,0.003550601370322208,0.003662179782986641
35,0.0035270215244963764,0.0036234259023331106
36,0.0035121776034227675,0.0035970339667983353
37,0.003534232209333115,0.00360870131989941
38,0.0034898386750784184,0.0035819527925923466
39,0.0034658489981666206,0.0035535896313376725
40,0.0034526700076336664,0.003548971132840961
41,0.0034472609016423426,0.00353428004309535
42,0.003427889231695897,0.003517226199619472
43,0.003420299565833476,0.0035161589621566236
44,0.00340650020322452,0.0035155975958332418
45,0.003406120753950543,0.0034997332491911947
46,0.0033832463979100186,0.0034905826789326964
47,0.003370840894058347,0.0034799652523361145
48,0.003400106014062961,0.003495990426745266
49,0.003369451948027644,0.0034656678908504546
50,0.0033565500647657447,0.0035930260550230742
